medicine_name,generic_name,strength,form,color,shape,marking,manufacturer,authenticity_confidence,verification_status,image_edge_count,image_color_variance,image_text_clarity,image_shape_regularity,storage_temp,humidity_max
Aspirin,Acetylsalicylic Acid,81mg,enteric-coated,pink,round,ASP,Bayer,86.16,authentic,67,0.118,0.703,0.989,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,enteric-coated,pink,oval,81,CVS,93.26,authentic,51,0.311,0.954,0.952,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,tablet,white,round,BAYER,Walgreens,88.86,authentic,101,0.289,0.816,0.929,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,tablet,white,oval,325,CVS,92.52,authentic,189,0.399,0.859,0.837,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,tablet,yellow,round,ASP,Walgreens,85.33,authentic,90,0.129,0.847,0.864,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,tablet,yellow,oval,BAYER,CVS,87.38,authentic,173,0.316,0.912,0.958,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,tablet,pink,round,BAYER,Bayer,85.55,authentic,134,0.177,0.873,0.831,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,tablet,pink,oval,81,CVS,89.75,authentic,61,0.305,0.97,0.989,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,chewable tablet,white,round,325,Bayer,95.29,authentic,157,0.248,0.804,0.994,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,chewable tablet,white,oval,ASP,CVS,86.67,authentic,163,0.196,0.826,0.866,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,chewable tablet,yellow,round,ASP,CVS,93.57,authentic,51,0.156,0.784,0.877,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,chewable tablet,yellow,oval,325,Walgreens,89.03,authentic,123,0.422,0.885,0.855,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,chewable tablet,pink,round,ASP,Bayer,89.87,authentic,113,0.209,0.876,0.894,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,chewable tablet,pink,oval,325,CVS,98.66,authentic,52,0.486,0.902,0.937,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,enteric-coated,white,round,325,CVS,97.66,authentic,102,0.196,0.929,0.977,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,enteric-coated,white,oval,325,CVS,86.92,authentic,139,0.327,0.825,0.852,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,enteric-coated,yellow,round,BAYER,Bayer,92.92,authentic,167,0.314,0.986,0.81,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,enteric-coated,yellow,oval,ASP,CVS,96.3,authentic,182,0.222,0.754,0.832,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,enteric-coated,pink,round,ASP,Walgreens,90.01,authentic,141,0.287,0.96,0.86,20-25°C,60%
Aspirin,Acetylsalicylic Acid,325mg,enteric-coated,pink,oval,ASP,CVS,98.4,authentic,79,0.427,0.952,0.95,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,tablet,white,round,325,CVS,95.84,authentic,117,0.152,0.857,0.985,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,tablet,white,oval,BAYER,CVS,89.8,authentic,80,0.278,0.831,0.863,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,tablet,yellow,round,BAYER,Walgreens,90.43,authentic,157,0.353,0.775,0.935,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,tablet,yellow,oval,325,CVS,91.58,authentic,192,0.155,0.897,0.99,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,tablet,pink,round,ASP,Walgreens,95.19,authentic,60,0.382,0.721,0.834,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,tablet,pink,oval,ASP,Walgreens,95.18,authentic,126,0.49,0.931,0.917,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,chewable tablet,white,round,BAYER,Walgreens,94.37,authentic,89,0.348,0.748,0.818,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,chewable tablet,white,oval,ASP,Walgreens,95.05,authentic,56,0.291,0.829,0.919,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,chewable tablet,yellow,round,ASP,CVS,86.09,authentic,84,0.144,0.769,0.819,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,chewable tablet,yellow,oval,ASP,Walgreens,93.08,authentic,194,0.293,0.939,0.964,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,chewable tablet,pink,round,BAYER,Walgreens,90.94,authentic,51,0.404,0.803,0.966,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,chewable tablet,pink,oval,325,Bayer,96.49,authentic,55,0.469,0.993,0.809,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,enteric-coated,white,round,BAYER,Walgreens,90.04,authentic,172,0.222,0.885,0.898,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,enteric-coated,white,oval,325,CVS,93.72,authentic,164,0.214,0.953,0.948,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,enteric-coated,yellow,round,81,Walgreens,94.92,authentic,127,0.41,0.821,0.941,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,enteric-coated,yellow,oval,ASP,Bayer,93.32,authentic,171,0.297,0.796,0.998,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,enteric-coated,pink,round,BAYER,CVS,95.15,authentic,94,0.463,0.893,0.816,20-25°C,60%
Aspirin,Acetylsalicylic Acid,500mg,enteric-coated,pink,oval,BAYER,Walgreens,88.51,authentic,62,0.351,0.791,0.807,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,brown,round,IBU,Teva,88.87,authentic,109,0.32,0.977,0.92,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,brown,oval,400,Pfizer,86.6,authentic,50,0.2,0.866,0.959,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,brown,caplet,IBU,Teva,97.55,authentic,103,0.446,0.932,0.849,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,orange,round,ADVIL,Pfizer,89.85,authentic,143,0.159,0.734,0.911,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,orange,oval,400,Teva,89.17,authentic,94,0.107,0.778,0.846,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,orange,caplet,200,GSK,95.3,authentic,157,0.23,0.866,0.882,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,white,round,ADVIL,Pfizer,98.01,authentic,125,0.277,0.926,0.894,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,white,oval,200,Pfizer,85.42,authentic,89,0.456,0.768,0.804,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,white,caplet,200,Teva,98.7,authentic,83,0.418,0.909,0.891,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,red,round,IBU,Teva,90.67,authentic,54,0.33,0.702,0.847,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,red,oval,IBU,GSK,86.33,authentic,164,0.14,0.945,0.803,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,tablet,red,caplet,ADVIL,Pfizer,93.35,authentic,72,0.291,0.9,0.876,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,brown,round,IBU,Teva,90.49,authentic,120,0.485,0.873,0.859,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,brown,oval,ADVIL,GSK,95.11,authentic,55,0.258,0.752,0.942,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,brown,caplet,IBU,Teva,89.41,authentic,156,0.465,0.993,0.955,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,orange,round,200,Teva,95.32,authentic,121,0.393,0.804,0.978,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,orange,oval,400,GSK,95.07,authentic,120,0.444,0.965,0.802,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,orange,caplet,ADVIL,Pfizer,98.73,authentic,190,0.397,0.811,0.911,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,white,round,200,Pfizer,91.36,authentic,197,0.492,0.863,0.97,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,white,oval,IBU,Pfizer,97.15,authentic,57,0.205,0.947,0.875,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,white,caplet,200,GSK,85.38,authentic,155,0.414,0.902,0.818,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,red,round,ADVIL,GSK,85.04,authentic,120,0.226,0.9,0.873,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,red,oval,200,Pfizer,92.85,authentic,190,0.236,0.854,0.999,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,capsule,red,caplet,200,Teva,87.77,authentic,146,0.272,0.829,0.89,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,brown,round,IBU,GSK,91.51,authentic,97,0.349,0.933,0.912,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,brown,oval,ADVIL,Pfizer,98.73,authentic,134,0.23,0.731,0.838,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,brown,caplet,IBU,Teva,96.5,authentic,167,0.32,0.969,0.86,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,orange,round,400,Teva,95.52,authentic,192,0.319,0.976,0.908,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,orange,oval,ADVIL,Teva,87.64,authentic,188,0.331,0.812,0.947,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,orange,caplet,ADVIL,GSK,90.44,authentic,150,0.145,0.714,0.84,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,white,round,400,Pfizer,95.42,authentic,144,0.121,0.817,0.899,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,white,oval,200,Teva,88.78,authentic,108,0.39,0.826,0.972,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,white,caplet,200,GSK,95.08,authentic,135,0.439,0.749,0.824,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,red,round,ADVIL,Pfizer,90.81,authentic,175,0.128,0.919,0.951,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,red,oval,400,GSK,91.89,authentic,104,0.135,0.951,0.836,20-25°C,60%
Ibuprofen,Ibuprofen,200mg,liquid gel,red,caplet,IBU,Pfizer,92.0,authentic,190,0.278,0.989,0.857,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,brown,round,200,GSK,89.13,authentic,68,0.34,0.762,0.948,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,brown,oval,400,Pfizer,85.98,authentic,195,0.349,0.859,0.93,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,brown,caplet,200,Teva,94.11,authentic,57,0.324,0.824,0.889,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,orange,round,400,Teva,86.57,authentic,153,0.446,0.812,0.803,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,orange,oval,ADVIL,Pfizer,95.73,authentic,168,0.46,0.95,0.952,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,orange,caplet,IBU,Pfizer,94.99,authentic,128,0.464,0.827,0.947,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,white,round,200,GSK,95.47,authentic,138,0.203,0.723,0.809,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,white,oval,200,GSK,93.16,authentic,188,0.436,0.973,0.94,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,white,caplet,ADVIL,Teva,90.19,authentic,85,0.197,0.996,0.907,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,red,round,IBU,Pfizer,98.93,authentic,154,0.42,0.819,0.82,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,red,oval,400,GSK,89.77,authentic,55,0.234,0.864,0.864,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,tablet,red,caplet,200,Pfizer,98.77,authentic,81,0.154,0.807,0.883,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,brown,round,400,Teva,98.11,authentic,65,0.432,0.965,0.955,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,brown,oval,400,Pfizer,94.37,authentic,185,0.186,0.707,0.825,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,brown,caplet,IBU,GSK,87.41,authentic,116,0.295,0.894,0.949,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,orange,round,400,GSK,96.32,authentic,125,0.443,0.867,0.805,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,orange,oval,200,Pfizer,93.49,authentic,106,0.191,0.845,0.983,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,orange,caplet,200,Pfizer,92.44,authentic,167,0.413,0.839,0.842,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,white,round,IBU,Teva,88.07,authentic,63,0.279,0.737,0.894,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,white,oval,200,Teva,90.75,authentic,193,0.461,0.886,0.917,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,white,caplet,ADVIL,Pfizer,97.49,authentic,179,0.257,0.734,0.906,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,red,round,200,Teva,93.43,authentic,112,0.199,0.992,0.95,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,red,oval,ADVIL,Pfizer,89.52,authentic,146,0.22,0.788,0.809,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,capsule,red,caplet,ADVIL,Teva,91.8,authentic,83,0.122,0.884,0.882,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,brown,round,400,GSK,92.9,authentic,174,0.283,0.915,0.806,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,brown,oval,ADVIL,Teva,86.23,authentic,179,0.167,0.782,0.859,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,brown,caplet,IBU,GSK,92.82,authentic,73,0.363,0.808,0.964,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,orange,round,IBU,Pfizer,88.78,authentic,86,0.444,0.72,0.898,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,orange,oval,200,Pfizer,86.93,authentic,79,0.254,0.787,0.894,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,orange,caplet,400,Pfizer,90.19,authentic,117,0.382,0.931,0.907,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,white,round,IBU,GSK,94.36,authentic,96,0.145,0.734,0.983,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,white,oval,ADVIL,Teva,94.18,authentic,52,0.425,0.923,0.945,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,white,caplet,ADVIL,Teva,87.3,authentic,86,0.453,0.863,0.897,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,red,round,IBU,Pfizer,86.32,authentic,68,0.375,0.809,0.929,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,red,oval,IBU,GSK,98.13,authentic,141,0.342,0.8,0.911,20-25°C,60%
Ibuprofen,Ibuprofen,400mg,liquid gel,red,caplet,400,GSK,93.51,authentic,161,0.336,0.927,0.918,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,brown,round,400,Teva,96.29,authentic,135,0.253,0.782,0.825,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,brown,oval,400,GSK,86.58,authentic,83,0.271,0.993,0.858,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,brown,caplet,IBU,Teva,92.36,authentic,94,0.271,0.961,0.932,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,orange,round,IBU,Teva,94.76,authentic,145,0.435,0.82,0.95,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,orange,oval,ADVIL,GSK,94.79,authentic,54,0.192,0.914,0.858,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,orange,caplet,ADVIL,GSK,90.34,authentic,105,0.187,0.868,0.803,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,white,round,200,GSK,90.64,authentic,179,0.219,0.783,0.866,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,white,oval,IBU,GSK,90.72,authentic,142,0.277,0.899,0.947,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,white,caplet,400,GSK,96.56,authentic,72,0.176,0.841,0.966,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,red,round,IBU,Pfizer,93.81,authentic,145,0.245,0.906,0.906,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,red,oval,200,GSK,98.59,authentic,132,0.379,0.863,0.873,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,tablet,red,caplet,ADVIL,Pfizer,86.01,authentic,131,0.306,0.913,0.991,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,capsule,brown,round,IBU,Pfizer,91.06,authentic,170,0.329,0.896,0.821,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,capsule,brown,oval,400,GSK,85.49,authentic,148,0.329,0.769,0.834,20-25°C,60%
Ibuprofen,Ibuprofen,600mg,capsule,brown,caplet,400,GSK,97.77,authentic,171,0.421,0.935,0.891,20-25°C,60%
